Bin	pLow	pHigh	Pion_Mean	Pion_Sigma	Pion_Amplitude	Pion_Chi2NDF	Kaon_Mean	Kaon_Sigma	Kaon_Amplitude	Kaon_Chi2NDF
0	1	1.3	0.992525	0.00336821	356389	10.2485	1.24845	1.05367e-08	1.7038e+08	inf
1	1.3	1.6	0.995416	0.00311237	282501	22.0957	0.967696	0.00558232	64.2663	1.25019
2	1.6	1.9	0.996905	0.00352111	191226	1210.49	0.977153	0.00461941	312.332	0.352697
3	1.9	2.2	0.997728	0.00349379	139679	842.256	0.983255	0.00147449	1879.72	154.525
4	2.2	2.5	0.998306	0.00343304	102409	624.636	0.98533	0.00205645	4242.77	295.884
5	2.5	2.8	0.998794	0.00329503	76139.4	470.381	0.986679	0.00237004	7134.68	21.5423
6	2.8	3.1	0.999017	0.0032989	56658.8	346.1	0.987673	0.00207899	9945.38	8.63074
7	3.1	3.4	0.999261	0.00322253	42632.8	281.845	0.989118	0.00227092	9186.12	17.5402
8	3.4	3.7	0.999437	0.00317938	31988.1	216.926	0.991	0.00279893	7593.31	9.70854
9	3.7	4	0.999098	0.00347843	24067.5	143.08	0.993147	0.00351027	6342.95	3.29327
