Bin	pLow	pHigh	Pion_Mean	Pion_Sigma	Pion_Amplitude	Pion_Chi2NDF	Kaon_Mean	Kaon_Sigma	Kaon_Amplitude	Kaon_Chi2NDF
0	4	4.3	1.00017	0.00257145	19025.9	223.238	0.994968	0.00394949	5499.56	11.4197
1	4.3	4.6	1.00032	0.00251198	14069.9	175.443	0.998699	0.00505326	6399.05	5.04338
2	4.6	4.9	1.00047	0.00247054	10082.1	160.755	0.991555	0.00183647	1417.98	75.9741
3	4.9	5.2	1.00059	0.00244091	7189.51	127.311	0.993689	0.0020289	1760.96	99.9935
4	5.2	5.5	1.00069	0.00243248	5157.78	91.8743	0.994478	0.00204764	1450.71	57.2713
5	5.5	5.8	1.00081	0.00238927	3621.66	76.101	0.99598	0.0025227	1388.92	22.7464
6	5.8	6.1	1.00085	0.002434	2525.37	57.719	0.995346	0.00174778	955.853	44.66
7	6.1	6.4	1.00096	0.00238046	1765.05	39.295	0.996689	0.00194474	943.086	40.8977
8	6.4	6.7	1.0011	0.00240391	1170.69	30.6776	0.997149	0.00189832	747.436	30.4125
9	6.7	7	1.00112	0.00239751	774.479	22.3564	0.997062	0.00189978	482.972	12.5741
