Bin	pLow	pHigh	Pion_Mean	Pion_Sigma	Pion_Amplitude	Pion_Chi2NDF	Kaon_Mean	Kaon_Sigma	Kaon_Amplitude	Kaon_Chi2NDF
0	4	4.3	1.00017	0.00257145	19025.9	223.238	0.992286	0.00187467	5249.7	917.649
1	4.3	4.6	1.00032	0.00251198	14069.9	175.443	0.994548	0.00291813	4402.64	168.122
2	4.6	4.9	1.00047	0.00247054	10082.1	160.755	0.993944	0.00223265	3107.02	486.505
3	4.9	5.2	1.00059	0.00244091	7189.51	127.311	0.995769	0.002688	2835.05	116.867
4	5.2	5.5	1.00069	0.00243248	5157.78	91.8743	0.994509	0.00131005	1983.19	715.041
5	5.5	5.8	1.00081	0.00238927	3621.66	76.101	0.995754	0.00214686	1579.09	135.687
6	5.8	6.1	1.00085	0.002434	2525.37	57.719	0.996684	0.00226039	1323.73	46.0838
7	6.1	6.4	1.00096	0.00238046	1765.05	39.295	0.997244	0.0021743	1056.13	29.2874
8	6.4	6.7	1.0011	0.00240391	1170.69	30.6776	0.995893	0.00109212	698.79	233.692
9	6.7	7	1.00112	0.00239751	774.479	22.3564	0.996643	0.00151241	500.754	50.3524
