Bin	pLow	pHigh	Pion_Mean	Pion_Sigma	Pion_Amplitude	Pion_Chi2NDF	Kaon_Mean	Kaon_Sigma	Kaon_Amplitude	Kaon_Chi2NDF
0	4	4.3	0.999435	0.00275594	19318.6	12.8532	0.992702	0.00234417	4874.15	139.25
1	4.3	4.6	0.999508	0.00271901	14497.2	8.98439	0.994103	0.00242055	4369.05	130.504
2	4.6	4.9	0.999568	0.00281184	10539	21.2814	0.995008	0.00247125	3772.63	197.613
3	4.9	5.2	0.999618	0.00281498	7624.18	18.3236	0.995316	0.00214798	2907	182.626
4	5.2	5.5	0.99966	0.00277034	5627.79	15.0022	0.995772	0.00212062	2319.18	142.174
5	5.5	5.8	0.999695	0.0026457	4011.52	9.54897	0.996268	0.00189153	1859.28	92.4136
6	5.8	6.1	0.999725	0.00265782	2901.24	5.50234	0.9963	0.00181533	1346.21	87.6374
7	6.1	6.4	0.999751	0.00263496	2045.95	4.99542	0.996296	0.00180359	927.932	59.0184
8	6.4	6.7	0.999773	0.00270239	1393.82	2.43382	0.996555	0.00169541	680.626	37.4773
9	6.7	7	0.999792	0.00256118	956.524	1.1331	0.996527	0.00157898	459.787	15.3353
