Momentum Bin (GeV/c),Intersection Point,Kaon-to-Pion Ratio (%)
1-1.3,0.97,1.70167e-14
1.3-1.6,0.974,0.0104302
1.6-1.9,0.978,0.0874723
1.9-2.2,0.984,0.193868
2.2-2.5,0.9875,0.380622
2.5-2.8,0.99,0.573549
2.8-3.1,0.99185,0.618257
3.1-3.4,0.99285,0.946795
3.4-3.7,0.994,1.60536
3.7-4,0.995,5.58763
4-4.3,0.9956,7.5085
4.3-4.6,0.995,8.46838
4.6-4.9,0.9955,12.1787
4.9-5.2,0.9955,12.2555
5.2-5.5,0.996,12.9358
5.5-5.8,0.9965,13.3861
5.8-6.1,0.9965,18.5198
6.1-6.4,0.9965,23.7642
6.4-6.7,0.9965,21.3723
6.7-7,0.9965,21.2439
