Bin	pLow	pHigh	Pion_Mean	Pion_Sigma	Pion_Amplitude	Pion_Chi2NDF	Kaon_Mean	Kaon_Sigma	Kaon_Amplitude	Kaon_Chi2NDF
0	1	1.3	0.992713	0.00328278	357712	192.82	0.961353	0.00131657	6.78646	1.45301
1	1.3	1.6	0.995397	0.00299158	285493	50.4164	0.969917	0.00645859	60.4774	0.913817
2	1.6	1.9	0.996833	0.00291014	209161	110.526	0.978771	0.00360136	289.586	2.23028
3	1.9	2.2	0.997689	0.0028879	151541	101.879	0.983505	0.00138643	1944.12	154.3
4	2.2	2.5	0.99824	0.00285758	110725	128.995	0.985491	0.00199262	4351.72	280.704
5	2.5	2.8	0.998615	0.00281571	82219.5	104.805	0.986646	0.00241179	7390.28	157.035
6	2.8	3.1	0.998882	0.0027399	61633.2	74.501	0.987922	0.00235683	10002.5	178.848
7	3.1	3.4	0.999079	0.00252441	47986.4	150.82	0.989085	0.00238593	9302.09	143.326
8	3.4	3.7	0.999228	0.00233586	36925.2	157.614	0.990395	0.00257538	7595.93	192.455
9	3.7	4	0.999343	0.00216846	28129.2	180.168	0.992351	0.00316197	6365.96	157.193
10	4	4.3	0.999435	0.00201931	21319.2	158.592	0.993592	0.00292546	5502.68	128.615
11	4.3	4.6	0.999508	0.00271901	14497.2	8.98439	0.994103	0.00242055	4369.05	130.504
12	4.6	4.9	0.999568	0.00270283	10654	1.84417	0.995008	0.00247125	3772.63	197.613
13	4.9	5.2	0.999618	0.00268089	7742.67	2.59904	0.995316	0.00214798	2907	182.626
14	5.2	5.5	0.99966	0.00265712	5683.39	0.845368	0.995772	0.00212062	2319.18	142.174
15	5.5	5.8	0.999695	0.0026457	4011.52	9.54897	0.996268	0.00189153	1859.28	92.4136
16	5.8	6.1	0.999725	0.00265782	2901.24	5.50234	0.996684	0.00226039	1323.73	46.0838
17	6.1	6.4	0.999751	0.00263496	2045.95	4.99542	0.997221	0.0021641	1052.16	35.1355
18	6.4	6.7	0.999773	0.00270239	1393.82	2.43382	0.997148	0.0018983	747.415	30.4125
19	6.7	7	0.999792	0.00256118	956.524	1.1331	0.99727	0.00183236	489.344	inf
