Bin	pLow	pHigh	Pion_Mean	Pion_Sigma	Pion_Amplitude	Pion_Chi2NDF	Kaon_Mean	Kaon_Sigma	Kaon_Amplitude	Kaon_Chi2NDF
0	1	1.3	0.992713	0.00331346	357094	147.574	1.24845	1.05367e-08	1.7038e+08	inf
1	1.3	1.6	0.995397	0.00300658	285179	14.1386	0.967696	0.00558232	64.2663	1.25019
2	1.6	1.9	0.996833	0.00291014	209161	110.526	0.977153	0.00461941	312.332	0.352697
3	1.9	2.2	0.997689	0.00286793	152247	125.582	0.983255	0.00147449	1879.72	154.525
4	2.2	2.5	0.99824	0.00283895	111315	101.999	0.98533	0.00205645	4242.77	295.884
5	2.5	2.8	0.998615	0.00282619	82226.6	107.366	0.986679	0.00237004	7134.68	21.5423
6	2.8	3.1	0.998882	0.00279992	61101.2	109.9	0.988034	0.00238234	9864.57	55.3641
7	3.1	3.4	0.999079	0.00280352	45638.8	101.124	0.989528	0.00284289	8976.56	33.7911
8	3.4	3.7	0.999228	0.00282701	34055.7	78.1522	0.991	0.00279893	7593.31	9.70854
9	3.7	4	0.999343	0.00283905	25415.9	54.9498	0.993147	0.00351027	6342.95	3.29327
