
TABLE X: Data-driven estimation for kaon contamination in pion sample
Bin	p (GeV)	N_pi/N_pi_tot (%)	N_Ki/N_pi (%)	N_Ki/N_pi_tot (%)
1	[1.00,1.30)	13.6	0.00	0.00
2	[1.30,1.60)	10.1	0.00	0.00
3	[1.60,1.90)	7.2	0.00	0.00
4	[1.90,2.20)	5.1	0.09	0.00
5	[2.20,2.50)	3.7	0.28	0.01
6	[2.50,2.80)	2.6	1.02	0.03
7	[2.80,3.10)	1.9	0.89	0.02
8	[3.10,3.40)	1.4	1.12	0.02
9	[3.40,3.70)	1.0	4.15	0.04
10	[3.70,4.00)	0.7	5.26	0.04
11	[4.00,4.30)	0.5	5.62	0.03
12	[4.30,4.60)	0.4	4.98	0.02
13	[4.60,4.90)	0.3	1.33	0.00
14	[4.90,5.20)	0.2	5.93	0.01
15	[5.20,5.50)	0.1	0.62	0.00
16	[5.50,5.80)	0.1	4.29	0.00
17	[5.80,6.10)	0.1	5.93	0.00
18	[6.10,6.40)	0.0	4.63	0.00
19	[6.40,6.70)	0.0	3.04	0.00
20	[6.70,7.00)	0.0	3.30	0.00
