Bin	p (GeV)	Pion_Mean	Pion_SD	Kaon_Mean	Kaon_SD	Intersection
1	[1.20,1.48)	0.9946	0.0036	0.9628	0.0035	0.9764
2	[1.48,1.76)	0.9964	0.0035	0.9413	0.0128	0.9900
3	[1.76,2.04)	0.9974	0.0034	0.9682	0.0052	0.9843
4	[2.04,2.32)	0.9981	0.0034	0.9758	0.0051	0.9875
5	[2.32,2.60)	0.9986	0.0032	0.9808	0.0045	0.9897
6	[2.60,2.88)	0.9991	0.0029	0.9844	0.0041	0.9915
7	[2.88,3.16)	0.9994	0.0027	0.9873	0.0041	0.9929
8	[3.16,3.44)	0.9996	0.0026	0.9890	0.0034	0.9936
9	[3.44,3.72)	0.9999	0.0024	0.9913	0.0042	0.9900
10	[3.72,4.00)	1.0001	0.0023	0.9932	0.0044	0.9900
