Momentum Bin (GeV/c)	Mean	Sigma	Chi2/ndf
1.0-1.3	0.9520	0.0055	9.55
1.3-1.6	0.9004	0.0218	148.46
1.6-1.9	0.9630	0.0067	237.58
1.9-2.2	0.9727	0.0056	351.25
2.2-2.5	0.9790	0.0047	513.88
2.5-2.8	0.9830	0.0036	786.74
2.8-3.1	0.9859	0.0026	1295.45
3.1-3.4	0.9886	0.0033	617.94
3.4-3.7	0.9905	0.0035	503.12
3.7-4.0	0.9916	0.0030	595.58
4.0-4.3	0.9922	0.0019	1211.50
4.3-4.6	0.9943	0.0028	265.41
4.6-4.9	0.9937	0.0017	940.70
4.9-5.2	0.9953	0.0028	186.38
5.2-5.5	0.9964	0.0026	100.30
5.5-5.8	0.9949	0.0015	571.70
5.8-6.1	0.9960	0.0019	147.20
6.1-6.4	0.9967	0.0021	39.09
6.4-6.7	0.9970	0.0022	16.10
6.7-7.0	0.9973	0.0016	44.61
