Momentum Bin (GeV/c)	Mean	Sigma	Chi2/ndf
1.0-1.3	0.9926	0.0040	4436.36
1.3-1.6	0.9954	0.0037	3600.64
1.6-1.9	0.9969	0.0036	2701.65
1.9-2.2	0.9978	0.0035	1882.32
2.2-2.5	0.9985	0.0032	1539.97
2.5-2.8	0.9989	0.0031	1042.59
2.8-3.1	0.9993	0.0029	496.39
3.1-3.4	0.9996	0.0029	436.38
3.4-3.7	0.9998	0.0027	369.35
3.7-4.0	1.0000	0.0027	305.00
4.0-4.3	1.0002	0.0026	247.19
4.3-4.6	1.0003	0.0025	199.54
4.6-4.9	1.0005	0.0025	166.61
4.9-5.2	1.0006	0.0025	136.91
5.2-5.5	1.0007	0.0025	102.20
5.5-5.8	1.0008	0.0024	88.66
5.8-6.1	1.0009	0.0025	65.67
6.1-6.4	1.0010	0.0024	49.73
6.4-6.7	1.0011	0.0024	35.72
6.7-7.0	1.0011	0.0024	27.36
