Bin	pLow	pHigh	Pion_Mean	Pion_Sigma	Pion_Amplitude	Pion_Chi2NDF	Proton_Mean	Proton_Sigma	Proton_Amplitude	Proton_Chi2NDF
0	1	1.3	0.992713	0.00328278	357712	192.82	0.774828	0.003	0	-nan
1	1.3	1.6	0.995397	0.00299158	285493	50.4164	0.839561	0.003	0	-nan
2	1.6	1.9	0.996833	0.00291014	209161	110.526	0.881319	0.003	0	-nan
3	1.9	2.2	0.997689	0.0028879	151541	101.879	0.9961	0.003	0	-nan
4	2.2	2.5	0.99824	0.00285758	110725	128.995	0.9966	0.003	0	-nan
5	2.5	2.8	0.998615	0.00281571	82219.5	104.805	0.962018	0.00176076	12.189	0.904416
6	2.8	3.1	0.998882	0.0027399	61633.2	74.501	0.95296	0.005	28	-nan
7	3.1	3.4	0.999079	0.00252441	47986.4	150.82	0.974926	0.000736076	27.0483	0.966992
8	3.4	3.7	0.999228	0.00233586	36925.2	157.614	0.97718	0.000988951	45.3159	0.172918
9	3.7	4	0.999343	0.00216846	28129.2	180.168	0.979968	0.00146303	66.2745	0.222862
10	4	4.3	0.999435	0.00201931	21319.2	158.592	0.982718	0.00188559	103.402	5.47918
11	4.3	4.6	0.999508	0.00271901	14497.2	8.98439	0.984731	0.00120908	338.069	19.3623
12	4.6	4.9	0.999568	0.00270283	10654	1.84417	0.985911	0.00139906	651.11	21.7838
13	4.9	5.2	0.999618	0.00268089	7742.67	2.59904	0.986126	0.00180788	860.703	27.8982
14	5.2	5.5	0.99966	0.00265712	5683.39	0.845368	0.987226	0.00195678	1042.55	15.5168
15	5.5	5.8	0.999695	0.0026457	4011.52	9.54897	0.987786	0.00209334	951.182	5.53591
16	5.8	6.1	0.999725	0.00265782	2901.24	5.50234	0.988986	0.00259971	716.67	4.31922
17	6.1	6.4	0.999751	0.00263496	2045.95	4.99542	0.98932	0.00223584	549.812	5.18022
18	6.4	6.7	0.999773	0.00270239	1393.82	2.43382	0.990043	0.00254552	367.75	5.5765
19	6.7	7	0.999792	0.00256118	956.524	1.1331	0.991232	0.00309797	259.971	2.05613
