# K⁺ contamination in reconstructed π⁺: (Reconstructed π⁺ matched to MC K⁺) / (Total reconstructed π⁺)
MomentumBin(GeV)	Contamination	PionCount	KaonCount
0.2483	0.0009	448994	410
0.5450	0.0038	814134	3071
0.8417	0.0096	760591	7332
1.1383	0.0161	602718	9702
1.4350	0.0201	477845	9596
1.7317	0.0235	371741	8742
2.0283	0.0261	292261	7624
2.3250	0.0299	219390	6555
2.6217	0.0343	160665	5514
2.9183	0.0382	115831	4421
3.2150	0.0460	82067	3771
3.5117	0.0498	60454	3013
3.8083	0.0582	43316	2521
4.1050	0.0668	31300	2090
4.4017	0.0694	22060	1530
4.6983	0.0753	16661	1255
4.9950	0.0872	12365	1078
5.2917	0.1019	9080	925
5.5883	0.0989	6646	657
5.8850	0.0922	4599	424
6.1817	0.0959	3286	315
6.4783	0.1130	2753	311
6.7750	0.1189	2128	253
7.0717	0.0797	1505	120
7.3683	0.1180	805	95
7.6650	0.0842	475	40
7.9617	0.0435	368	16
8.2583	0.0474	190	9
8.5550	0.0105	95	1
8.8517	0.0000	33	0
