event_number,true_pid,charge,recomputed_chi2pid,sector,layer,component,sigma,dt,is_matched
2,-999,1,-0.173655,2,2,35,0.088,-0.0152817,0
6,211,1,-0.0498155,6,2,32,0.085,-0.00423431,1
19,211,1,-0.873859,2,2,23,0.078,-0.068161,1
19,2212,1,72.3369,3,2,13,0.07,5.06358,1
20,2212,1,19.1452,6,2,37,0.09,1.72307,1
22,2212,1,76.1247,5,2,10,0.067,5.10036,1
23,211,1,0.502953,2,2,23,0.078,0.0392303,1
28,211,1,99999,-1,-1,-1,-1,99999,1
31,211,1,1.80046,3,2,50,0.1,0.180046,1
33,2212,1,19.7042,4,2,33,0.086,1.69456,1
34,211,1,99999,-1,-1,-1,-1,99999,1
36,211,1,0.917659,1,2,11,0.068,0.0624008,1
37,211,1,16.5835,1,1,2,0.105,1.74126,1
37,-999,1,99999,-1,-1,-1,-1,99999,0
41,-999,1,-0.156948,1,2,13,0.07,-0.0109863,0
44,-999,1,0.661831,4,2,54,0.103,0.0681686,0
46,2212,1,39.7947,5,2,21,0.076,3.0244,1
47,-999,1,-0.238419,5,2,25,0.08,-0.0190735,0
47,-999,1,89.3762,2,2,44,0.095,8.49074,0
48,-999,1,-7.45049,2,2,12,0.069,-0.514084,0
54,-999,1,99999,-1,-1,-1,-1,99999,0
58,-999,1,0.028261,1,2,15,0.071,0.00200653,0
59,211,1,-0.589912,3,2,27,0.081,-0.0477829,1
60,-999,1,43.5135,4,2,43,0.094,4.09027,0
60,-999,1,99999,-1,-1,-1,-1,99999,0
64,211,1,-1.60924,2,2,11,0.068,-0.109428,1
64,211,1,0.55525,3,2,27,0.081,0.0449753,1
66,-999,1,3.16763,3,2,25,0.08,0.25341,0
71,-999,1,1.49836,5,2,42,0.094,0.140846,0
74,-999,1,217.241,1,2,30,0.084,18.2483,0
75,2212,1,22.9545,6,2,37,0.09,2.0659,1
75,-999,1,99999,-1,-1,-1,-1,99999,0
76,211,1,-0.312574,1,2,48,0.099,-0.0309448,1
78,211,1,-1.02441,5,2,27,0.081,-0.0829773,1
78,-999,1,-0.722536,1,2,15,0.071,-0.0513,0
83,-999,1,-0.34567,5,2,7,0.065,-0.0224686,0
84,211,1,-0.599494,4,2,23,0.078,-0.0467606,1
88,211,1,1.43619,5,2,47,0.098,0.140747,1
91,2212,1,12.0666,3,2,31,0.085,1.02566,1
91,211,1,0.484742,1,2,46,0.097,0.04702,1
92,-999,1,84.3134,5,2,48,0.099,8.34702,0
97,321,1,3.58126,5,2,9,0.067,0.239944,1
100,211,1,0.30251,3,2,29,0.083,0.0251083,1
103,211,1,0.923599,2,2,12,0.069,0.0637283,1
106,2212,1,14.9096,4,2,29,0.083,1.2375,1
106,211,1,99999,-1,-1,-1,-1,99999,1
108,2212,1,14.9466,1,2,5,0.063,0.941635,1
112,2212,1,99999,-1,-1,-1,-1,99999,1
114,-999,1,186.107,5,2,15,0.071,13.2136,0
116,-999,1,65.9471,4,2,28,0.082,5.40766,0
118,211,1,1.97259,2,2,34,0.087,0.171616,1
118,2212,1,75.425,2,2,13,0.07,5.27975,1
121,2212,1,31.2731,1,1,18,0.177,5.53535,1
123,2212,1,107.869,4,2,38,0.09,9.70822,1
125,2212,1,131.591,6,2,28,0.082,10.7905,1
128,211,1,0.254994,4,2,14,0.071,0.0181046,1
134,2212,1,49.7951,3,2,43,0.094,4.68074,1
134,211,1,-0.575122,4,2,11,0.068,-0.0391083,1
136,211,1,0.462802,3,1,14,0.159,0.0735855,1
136,2212,1,160.033,3,2,35,0.088,14.0829,1
141,211,1,-1.16177,6,2,47,0.098,-0.113853,1
141,2212,1,35.1716,3,2,26,0.08,2.81373,1
142,2212,1,99999,-1,-1,-1,-1,99999,1
142,-999,1,99999,-1,-1,-1,-1,99999,0
146,2212,1,39.478,1,2,20,0.076,3.00033,1
148,-999,1,-1.63828,1,2,14,0.071,-0.116318,0
149,-999,1,-0.208701,6,2,4,0.062,-0.0129395,0
150,2212,1,10.7486,5,2,12,0.069,0.741653,1
150,-999,1,99999,-1,-1,-1,-1,99999,0
151,211,1,0.753053,5,2,14,0.071,0.0534668,1
156,211,1,-0.226339,6,2,41,0.093,-0.0210495,1
156,-999,1,99999,-1,-1,-1,-1,99999,0
157,-999,1,-1.86145,2,2,7,0.065,-0.120995,0
159,2212,1,111.394,1,2,6,0.064,7.12923,1
163,2212,1,30.2909,3,2,42,0.094,2.84734,1
164,211,1,99999,-1,-1,-1,-1,99999,1
165,-999,1,97.735,3,2,6,0.064,6.25504,0
166,321,1,2.84148,5,2,36,0.089,0.252892,1
166,2212,1,103.172,1,2,28,0.082,8.46008,1
172,211,1,16.1218,4,2,27,0.081,1.30586,1
173,211,1,99999,-1,-1,-1,-1,99999,1
174,211,1,-2.32862,5,2,1,0.06,-0.139717,1
178,211,1,-0.457432,4,2,12,0.069,-0.0315628,1
181,211,1,99999,-1,-1,-1,-1,99999,1
