Momentum Bin (GeV/c),Pion Mean,Pion Sigma,Chi2 Min (Mean-5σ),Chi2 Max (Mean+5σ)
1-1.3,-0.0134696,1.08805,-5.45371,5.42677
1.3-1.6,-0.0318197,1.05372,-5.30044,5.2368
1.6-1.9,-0.0474634,1.03934,-5.24419,5.14926
1.9-2.2,-0.0561501,1.02968,-5.20455,5.09225
2.2-2.5,-0.0652842,0.917759,-4.65408,4.52351
2.5-2.8,-0.0672173,0.906471,-4.59957,4.46514
2.8-3.1,-0.0736642,0.900672,-4.57702,4.4297
3.1-3.4,-0.0809573,0.862728,-4.3946,4.23268
3.4-3.7,-0.074872,0.84592,-4.30447,4.15473
3.7-4,-0.0705943,0.850246,-4.32182,4.18064
4-4.3,-0.0738677,0.821186,-4.1798,4.03206
4.3-4.6,-0.0988032,0.736887,-3.78324,3.58563
4.6-4.9,-0.122413,0.646408,-3.35445,3.10962
4.9-5.2,-0.154842,0.597616,-3.14292,2.83324
5.2-5.5,-0.172636,0.571007,-3.02767,2.6824
5.5-5.8,-0.192777,0.545056,-2.91806,2.5325
5.8-6.1,-0.208018,0.542879,-2.92241,2.50638
6.1-6.4,-0.232754,0.518988,-2.82769,2.36219
6.4-6.7,-0.254281,0.520218,-2.85537,2.34681
6.7-7,-0.257155,0.507503,-2.79467,2.28036
