Momentum (GeV/c), Threshold
0.2, 3
0.3, 3
0.4, 3
0.5, 3
0.6, 3
0.7, 3
0.8, 3
0.9, 3
1, 3
1.1, 3
1.2, 3
1.3, 3
1.4, 3
1.5, 3
1.6, 3
1.7, 3
1.8, 3
1.9, 3
2, 3
2.1, 3
2.2, 3
2.3, 3
2.4, 3
2.5, 3
2.6, 3
2.7, 3
2.8, 2.76727
2.9, 2.77221
3, 2.70044
3.1, 2.27816
3.2, 2.2847
3.3, 2.00015
3.4, 1.90058
3.5, 1.8137
3.6, 1.83258
3.7, 1.64032
3.8, 1.58074
3.9, 1.45521
4, 1.39593
4.1, 1.3035
4.2, 1.29841
4.3, 1.18668
4.4, 1.15168
4.5, 1.16245
4.6, 1.05536
4.7, 1.01519
4.8, 0.963555
4.9, 0.917988
5, 0.877134
5.1, 0.90003
5.2, 0.898788
5.3, 0.78029
5.4, 0.837121
5.5, 0.785828
5.6, 0.769818
5.7, 0.680833
5.8, 0.681294
5.9, 0.630738
6, 0.615028
6.1, 0.625496
6.2, 0.559973
6.3, 0.564698
6.4, 0.538175
6.5, 0.552297
6.6, 0.518061
6.7, 0.508954
6.8, 0.462563
6.9, 0.490134
7, 0.427973
7.1, 0.417387
7.2, 0.433664
7.3, 0.369242
7.4, 0.397884
7.5, 0.364361
7.6, 0.371123
7.7, 0.353557
7.8, 0.329104
7.9, 0.355259
8, 0.29068
