Momentum (GeV/c), Threshold, Error
0.2, 178.079, 9.63437
0.3, 107.638, 16.8345
0.4, 84.998, 12.2167
0.5, 64.8914, 12.4349
0.6, 45.0512, 7.71192
0.7, 35.8047, 5.78636
0.8, 28.689, 3.5647
0.9, 23.0519, 3.95445
1, 19.3031, 3.14772
1.1, 17.1201, 2.33677
1.2, 13.8298, 2.13597
1.3, 12.693, 1.73244
1.4, 10.4498, 1.49053
1.5, 9.1486, 1.503
1.6, 8.91724, 1.27615
1.7, 7.58644, 1.13282
1.8, 6.39639, 0.950426
1.9, 6.32822, 0.872344
2, 5.63454, 0.787914
2.1, 5.34615, 0.783046
2.2, 4.52764, 0.60593
2.3, 4.22934, 0.564091
2.4, 3.9274, 0.516517
2.5, 3.55604, 0.464794
2.6, 3.22133, 0.41716
2.7, 3.00316, 0.380914
2.8, 2.76727, 0.322837
2.9, 2.77221, 0.290506
3, 2.70044, 0.279148
3.1, 2.27816, 0.243802
3.2, 2.2847, 0.230857
3.3, 2.00015, 0.19422
3.4, 1.90058, 0.178132
3.5, 1.8137, 0.169851
3.6, 1.83258, 0.152766
3.7, 1.64032, 0.153044
3.8, 1.58074, 0.135634
3.9, 1.45521, 0.129591
4, 1.39593, 0.122579
4.1, 1.3035, 0.117207
4.2, 1.29841, 0.102496
4.3, 1.18668, 0.104227
4.4, 1.15168, 0.0978461
4.5, 1.16245, 0.094185
4.6, 1.05536, 0.0908808
4.7, 1.01519, 0.0871051
4.8, 0.963555, 0.0799049
4.9, 0.917988, 0.0781009
5, 0.877134, 0.0734231
5.1, 0.90003, 0.0778096
5.2, 0.898788, 0.072018
5.3, 0.78029, 0.0708425
5.4, 0.837121, 0.0693673
5.5, 0.785828, 0.0638687
5.6, 0.769818, 0.0596051
5.7, 0.680833, 0.0559219
5.8, 0.681294, 0.0583953
5.9, 0.630738, 0.0559609
6, 0.615028, 0.0467611
6.1, 0.625496, 0.0499226
6.2, 0.559973, 0.0437612
6.3, 0.564698, 0.0452429
6.4, 0.538175, 0.0444813
6.5, 0.552297, 0.0523267
6.6, 0.518061, 0.0471011
6.7, 0.508954, 0.0406943
6.8, 0.462563, 0.0404099
6.9, 0.490134, 0.0372461
7, 0.427973, 0.0320899
7.1, 0.417387, 0.0306408
7.2, 0.433664, 0.039664
7.3, 0.369242, 0.0254064
7.4, 0.397884, 0.0361652
7.5, 0.364361, 0.0315465
7.6, 0.371123, 0.0362123
7.7, 0.353557, 0.0376321
7.8, 0.329104, 0.0256654
7.9, 0.355259, 0.0406235
8, 0.29068, 0.0220701
