p_min(GeV)	mean(ns)	sigma(ns)	mean-3sigma(ns)	mean+3sigma(ns)
0.100	32.141	6.948	11.297	52.986
0.200	0.931	1.564	-3.762	5.624
0.300	-3.276	2.421	-10.540	3.987
0.400	-0.421	0.703	-2.530	1.689
0.500	-0.071	0.255	-0.835	0.692
0.600	-0.007	0.129	-0.394	0.379
0.700	-0.002	0.105	-0.317	0.312
0.800	-0.002	0.098	-0.297	0.293
0.900	-0.001	0.095	-0.285	0.282
1.000	-0.001	0.092	-0.276	0.274
1.100	-0.001	0.089	-0.269	0.266
1.200	-0.002	0.088	-0.265	0.262
1.300	-0.002	0.087	-0.263	0.259
1.400	-0.003	0.086	-0.261	0.255
1.500	-0.003	0.086	-0.260	0.253
1.600	-0.004	0.085	-0.258	0.251
1.700	-0.004	0.084	-0.256	0.248
1.800	-0.004	0.083	-0.254	0.246
1.900	-0.004	0.083	-0.252	0.244
2.000	-0.004	0.082	-0.250	0.241
2.100	-0.004	0.082	-0.249	0.240
2.200	-0.005	0.081	-0.248	0.238
2.300	2.437	0.460	1.058	3.816
2.400	-10.274	0.803	-12.684	-7.863
2.500	1.452	1.073	-1.766	4.670
2.600	0.996	0.885	-1.660	3.652
2.700	-0.005	0.080	-0.245	0.235
2.800	-0.004	0.081	-0.246	0.237
2.900	-0.004	0.081	-0.247	0.239
