Momentum Bin (GeV/c),Pion Mean,Pion Sigma,Chi2 Min (Mean-5σ),Chi2 Max (Mean+5σ)
1-1.3,-0.00685886,0.984254,-4.92813,4.91441
1.3-1.6,-0.0614882,0.936999,-4.74649,4.62351
1.6-1.9,-0.0557853,0.925389,-4.68273,4.57116
1.9-2.2,-0.0403913,0.963491,-4.85785,4.77706
2.2-2.5,-0.0474738,0.994576,-5.02035,4.92541
2.5-2.8,-0.0636481,0.937959,-4.75345,4.62615
2.8-3.1,-0.0686298,0.888472,-4.51099,4.37373
3.1-3.4,-0.0828113,0.856207,-4.36385,4.19823
3.4-3.7,-0.101473,0.806146,-4.1322,3.92925
3.7-4,-0.117881,0.762705,-3.93141,3.69565
4-4.3,-0.132766,0.721682,-3.74118,3.47565
4.3-4.6,-0.145622,0.686047,-3.57586,3.28461
4.6-4.9,-0.152557,0.647622,-3.39067,3.08555
4.9-5.2,-0.176657,0.617797,-3.26564,2.91233
5.2-5.5,-0.193339,0.596111,-3.17389,2.78722
5.5-5.8,-0.206435,0.563129,-3.02208,2.60921
5.8-6.1,-0.216142,0.553251,-2.9824,2.55011
6.1-6.4,-0.210985,0.476448,-2.59323,2.17126
6.4-6.7,-0.253245,0.476238,-2.63443,2.12794
6.7-7,-0.237613,0.446728,-2.47125,1.99603
