Momentum Bin (GeV/c),Kaon Left,Contamination (%)
1-1.3,0.97432,0
1.3-1.6,0.983325,0
1.6-1.9,0.984815,0.00355244
1.9-2.2,0.987559,0.0629741
2.2-2.5,0.989146,0.257886
2.5-2.8,0.990317,0.354637
2.8-3.1,0.992585,1.65631
3.1-3.4,0.993735,4.04562
3.4-3.7,0.994789,8.65771
3.7-4,0.995549,12.9725
4-4.3,0.996336,17.0622
4.3-4.6,0.99703,22.5922
4.6-4.9,0.997336,21.5314
4.9-5.2,1.00113,0
5.2-5.5,N/A,N/A
5.5-5.8,0.997963,16.9071
5.8-6.1,0.998256,16.885
6.1-6.4,0.998313,14.9299
6.4-6.7,0.9986,15.2231
6.7-7,0.998474,10.3726
