Momentum Bin (GeV/c),c1,c2,Contamination (%)
1-1.3,N/A,N/A,N/A
1.3-1.6,0.977242,1.030140,0.0000
1.6000-1.9000,0.981578,1.079434,0.0006
1.9000-2.2000,0.985719,1.070493,0.0250
2.2000-2.5000,0.988446,1.070825,0.2042
2.5000-2.8000,0.990565,1.066487,0.5857
2.8000-3.1000,0.992195,1.081315,0.7645
3.1000-3.4000,0.992615,0.926020,0.6679
3.4000-3.7000,0.993978,0.941475,1.5309
3.7000-4.0000,0.994792,0.962682,2.4346
4.0000-4.3000,0.995019,0.981549,1.6856
4.3000-4.6000,0.996353,0.975257,5.6831
4.6000-4.9000,0.996300,0.985793,2.7725
4.9000-5.2000,0.997146,0.989515,5.2398
5.2000-5.5000,0.997597,0.983688,8.0106
5.5000-5.8000,0.997489,0.989193,4.4005
5.8000-6.1000,0.998183,1.017010,14.6237
6.1000-6.4000,0.998162,0.992871,9.3344
6.4000-6.7000,0.998598,0.891107,17.2100
6.7000-7.0000,0.998160,0.967557,11.4717
7.0000-7.3000,0.998408,0.949836,10.0388
7.3000-7.6000,0.998785,0.985226,19.6780
7.6000-7.9000,N/A,N/A,N/A
7.9000-8.2000,N/A,N/A,N/A
8.2000-8.5000,N/A,N/A,N/A
8.5000-8.8000,N/A,N/A,N/A
8.8000-9.1000,N/A,N/A,N/A
9.1000-9.4000,N/A,N/A,N/A
9.4000-9.7000,N/A,N/A,N/A
9.7000-10.0000,N/A,N/A,N/A
