Momentum Bin (GeV/c),c,Contamination (%)
1-1.3,0.971585,0
1.3-1.6,0.975737,0
1.6-1.9,0.982007,0.00152395
1.9-2.2,0.985371,0.0182138
2.2-2.5,0.988646,0.230493
2.5-2.8,0.990801,0.627332
2.8-3.1,0.992813,2.51322
3.1-3.4,0.993644,4.08424
3.4-3.7,0.994761,9.43759
3.7-4,0.995538,18.2832
4-4.3,0.995705,7.93811
4.3-4.6,0.99535,1.92743
4.6-4.9,0.996462,5.87619
4.9-5.2,0.997036,12.0137
5.2-5.5,0.997483,13.069
5.5-5.8,0.996701,2.60609
5.8-6.1,0.997466,6.23788
6.1-6.4,0.997827,8.5082
6.4-6.7,0.997986,7.4229
6.7-7,0.998331,9.9033
