Momentum Bin (GeV/c),c,Contamination (%)
1-1.3,0.972323,0
1.3-1.6,0.97995,0
1.6-1.9,0.983111,0.0111797
1.9-2.2,0.985635,0.0443445
2.2-2.5,0.988597,0.385224
2.5-2.8,0.990652,0.678293
2.8-3.1,0.992479,2.01552
3.1-3.4,0.993472,3.96857
3.4-3.7,0.994678,8.08682
3.7-4,0.99539,12.3273
4-4.3,0.99568,8.93761
4.3-4.6,0.995224,2.12973
4.6-4.9,0.996306,7.53949
4.9-5.2,0.996942,11.0476
5.2-5.5,0.997394,12.7652
5.5-5.8,0.996592,2.89653
5.8-6.1,0.997336,6.82643
6.1-6.4,0.997771,8.64749
6.4-6.7,0.997954,7.42205
6.7-7,0.998336,9.8513
