Momentum Bin (GeV/c),c,Contamination (%)
1-1.3,0.972957,0
1.3-1.6,0.980419,0
1.6-1.9,0.983446,0.00904629
1.9-2.2,0.985905,0.0377272
2.2-2.5,0.988903,0.334367
2.5-2.8,0.990866,0.705429
2.8-3.1,0.992608,1.92902
3.1-3.4,0.993545,3.90133
3.4-3.7,0.994756,9.59805
3.7-4,0.995423,12.3262
4-4.3,0.996318,16.6385
4.3-4.6,0.996808,17.5313
4.6-4.9,0.99704,15.0164
4.9-5.2,0.995949,3.22734
5.2-5.5,0.995723,1.61933
5.5-5.8,0.995656,0.725951
5.8-6.1,0.995494,0.355359
6.1-6.4,0.994947,0.0761543
6.4-6.7,0.994508,0.0315841
6.7-7,0.998369,10.0117
