Momentum Bin (GeV/c),Pion Mean,Pion Sigma,Chi2 Min (Mean-3σ),Chi2 Max (Mean+3σ)
1-1.3,-0.0494622,0.964035,-4.86964,4.77071
1.3-1.6,-0.087528,0.890392,-4.53949,4.36443
1.6-1.9,-0.0990245,0.962384,-4.91094,4.71289
1.9-2.2,-0.0766764,0.918373,-4.66854,4.51519
2.2-2.5,-0.10427,0.902939,-4.61896,4.41042
2.5-2.8,-0.124204,0.902706,-4.63773,4.38932
2.8-3.1,-0.11961,0.927197,-4.75559,4.51637
3.1-3.4,-0.253057,0.973699,-5.12155,4.61544
3.4-3.7,-0.0630024,0.712231,-3.62416,3.49815
3.7-4,-0.142906,1.03605,-5.32314,5.03733
4-4.3,-0.285413,1.62926,-8.43169,7.86086
4.3-4.6,-0.0462736,0.767341,-3.88298,3.79043
4.6-4.9,-0.0894711,0.705919,-3.61907,3.44012
4.9-5.2,-0.15265,0.57211,-3.0132,2.7079
5.2-5.5,-0.156559,0.430814,-2.31063,1.99751
5.5-5.8,-0.231549,0.492519,-2.69415,2.23105
5.8-6.1,-0.084586,0.466127,-2.41522,2.24605
6.1-6.4,-0.701618,0.822323,-4.81323,3.41
6.4-6.7,-1.41713,1.0952,-6.89312,4.05887
6.7-7,0.0381728,0.454912,-2.23639,2.31273
