Momentum Bin (GeV/c),c,Contamination (%)
1-1.3,0.972814,0
1.3-1.6,0.980252,0
1.6-1.9,0.983397,0.0102386
1.9-2.2,0.985962,0.0486658
2.2-2.5,0.988785,0.376593
2.5-2.8,0.99076,0.672192
2.8-3.1,0.99255,2.11513
3.1-3.4,0.993545,4.05955
3.4-3.7,0.994792,9.67276
3.7-4,0.995487,13.4104
4-4.3,0.996461,18.3467
4.3-4.6,0.997003,20.8372



4.6-4.9,0.997266,17.189
4.9-5.2,0.996981,13.3284
5.2-5.5,N/A,N/A
5.5-5.8,N/A,N/A
5.8-6.1,0.997607,9.14801
6.1-6.4,0.998356,12.4629
6.4-6.7,0.997256,3.31876
6.7-7,0.998344,9.75422
