Momentum Bin (GeV/c),Kaon Left,Contamination (%)
1-1.3,0.972376,0
1.3-1.6,0.981044,0
1.6-1.9,0.983206,0.0121406
1.9-2.2,0.986383,0.110585
2.2-2.5,0.98904,0.268266
2.5-2.8,0.990185,0.383502
2.8-3.1,0.992491,1.67425
3.1-3.4,0.993613,4.08237
3.4-3.7,0.994677,8.5545
3.7-4,0.995505,12.5818
4-4.3,0.996285,16.2893
4.3-4.6,0.997048,20.8808
4.6-4.9,0.997389,19.4099
4.9-5.2,1.00088,0
5.2-5.5,N/A,N/A
5.5-5.8,0.99798,14.8554
5.8-6.1,0.998357,14.0393
6.1-6.4,0.998377,12.6754
6.4-6.7,0.998763,11.8185
6.7-7,0.998471,9.00779
