Momentum Bin (GeV/c),Kaon Left,Contamination (%)
1-1.3,0.97263,0
1.3-1.6,0.981566,0
1.6-1.9,0.983084,0.00865002
1.9-2.2,0.986736,0.105535
2.2-2.5,0.988414,0.245115
2.5-2.8,0.990615,0.775163
2.8-3.1,0.992918,1.93338
3.1-3.4,0.993638,3.14551
3.4-3.7,0.994822,8.30195
3.7-4,0.995908,21.5943
4-4.3,0.996585,16.4225
4.3-4.6,0.995794,4.6134
4.6-4.9,0.996241,4.55803
4.9-5.2,0.994891,0.423428
5.2-5.5,0.996167,2.17257
5.5-5.8,N/A,N/A
5.8-6.1,0.996779,11.2885
6.1-6.4,0.994911,0.756548
6.4-6.7,1.00289,0
6.7-7,0.999023,11.874
