Momentum Bin (GeV/c),Pion Mean,Pion Sigma,Chi2 Min (Mean-3σ),Chi2 Max (Mean+3σ)
1-1.3,-0.025385,0.947292,-4.76185,4.71108
1.3-1.6,-0.0655028,0.922497,-4.67799,4.54698
1.6-1.9,-0.0701425,0.918273,-4.66151,4.52122
1.9-2.2,-0.0801434,0.896183,-4.56106,4.40077
2.2-2.5,-0.0889431,0.918253,-4.68021,4.50232
2.5-2.8,-0.0916486,0.91381,-4.6607,4.4774
2.8-3.1,-0.0946585,0.894425,-4.56678,4.37747
3.1-3.4,-0.114579,0.890817,-4.56866,4.3395
3.4-3.7,-0.0818719,0.84869,-4.32532,4.16158
3.7-4,-0.112288,0.877792,-4.50125,4.27667
4-4.3,-0.053756,0.864494,-4.37622,4.26871
4.3-4.6,-0.136295,0.782112,-4.04686,3.77427
4.6-4.9,-0.127355,0.622426,-3.23948,2.98477
4.9-5.2,-0.170755,0.576434,-3.05292,2.71141
5.2-5.5,-0.163832,0.554404,-2.93585,2.60819
5.5-5.8,-0.180414,0.57407,-3.05076,2.68994
5.8-6.1,-0.156212,0.504954,-2.68098,2.36856
6.1-6.4,-0.241216,0.586669,-3.17456,2.69213
6.4-6.7,-0.273223,0.472779,-2.63712,2.09067
6.7-7,-0.248791,0.520706,-2.85232,2.35474
