Momentum Bin (GeV/c),c1,c2,Contamination (%)
1-1.3,N/A,N/A,N/A
1.3-1.6,0.976417,1.037258,0.0000
1.6000-1.9000,0.981793,1.069026,0.0007
1.9000-2.2000,0.985578,1.077002,0.0209
2.2000-2.5000,0.988505,1.063827,0.2128
2.5000-2.8000,0.990395,1.091278,0.4725
2.8000-3.1000,0.992297,1.070811,0.9059
3.1000-3.4000,0.992738,0.909219,0.8267
3.4000-3.7000,0.993981,0.939062,1.7170
3.7000-4.0000,0.994708,0.911578,2.5347
4.0000-4.3000,0.994947,0.982000,1.4472
4.3000-4.6000,0.996263,0.970581,5.7479
4.6000-4.9000,0.996392,0.988363,3.0816
4.9000-5.2000,0.997118,0.990154,5.4097
5.2000-5.5000,0.997527,0.989595,7.3461
5.5000-5.8000,0.997521,0.991328,5.0033
5.8000-6.1000,0.997862,0.992710,6.2275
6.1000-6.4000,0.998306,1.044857,18.5316
6.4000-6.7000,0.997463,0.993100,2.7125
6.7000-7.0000,0.998116,0.984612,7.1437
7.0000-7.3000,0.998335,0.972962,11.8136
7.3000-7.6000,0.998558,0.992203,6.5633
7.6000-7.9000,0.998803,0.580324,12.3566
7.9000-8.2000,0.999040,0.987635,8.4140
8.2000-8.5000,0.999361,0.981740,11.8917
8.5000-8.8000,0.999640,0.995889,4.6476
8.8000-9.1000,0.999737,1.002747,97.2033
9.1000-9.4000,N/A,N/A,N/A
9.4000-9.7000,N/A,N/A,N/A
9.7000-10.0000,N/A,N/A,N/A
